Date,New Cases,7-Day Moving Avg
1/22/20,1,0
1/23/20,0,0
1/24/20,1,0
1/25/20,0,0
1/26/20,3,0
1/27/20,0,0
1/28/20,0,0
1/29/20,0,0
1/30/20,0,0
1/31/20,2,0
2/1/20,1,0
2/2/20,0,0
2/3/20,3,0
2/4/20,0,0
2/5/20,0,0
2/6/20,0,0
2/7/20,0,0
2/8/20,0,0
2/9/20,0,0
2/10/20,0,0
2/11/20,1,0
2/12/20,0,0
2/13/20,1,0
2/14/20,0,0
2/15/20,0,0
2/16/20,0,0
2/17/20,0,0
2/18/20,0,0
2/19/20,0,0
2/20/20,0,0
2/21/20,2,0
2/22/20,0,0
2/23/20,0,0
2/24/20,0,0
2/25/20,0,0
2/26/20,0,0
2/27/20,1,0
2/28/20,0,0
2/29/20,8,1
3/1/20,6,2
3/2/20,23,5
3/3/20,25,9
3/4/20,20,11
3/5/20,66,21
3/6/20,47,27
3/7/20,64,35
3/8/20,147,56
3/9/20,147,56
3/10/20,290,122
3/11/20,278,159
3/12/20,414,209
3/13/20,267,240
3/14/20,338,279
3/15/20,1237,435
3/16/20,755,511
3/17/20,2797,869
3/18/20,3419,1318
3/19/20,4777,1941
3/20/20,3528,2407
3/21/20,5836,3192
3/22/20,8821,4276
3/23/20,10934,5730
3/24/20,10115,6775
3/25/20,13987,8285
3/26/20,16916,10019
3/27/20,17965,12082
3/28/20,19332,14010
3/29/20,18251,15357
3/30/20,22635,17028
3/31/20,22562,18806
4/1/20,27043,20672
4/2/20,26135,21989
4/3/20,34864,24403
4/4/20,30683,26024
4/5/20,26065,27141
4/6/20,43438,30112
4/7/20,21597,29975
4/8/20,31534,30616
4/9/20,31705,31412
4/10/20,33251,31181
4/11/20,33288,31554
4/12/20,29145,31994
4/13/20,24156,29239
4/14/20,26385,29923
4/15/20,27158,29298
4/16/20,29164,28935
4/17/20,29002,28328
4/18/20,29916,27846
4/19/20,25995,27396
4/20/20,29468,28155
4/21/20,26490,28170
4/22/20,25858,27984
4/23/20,37144,29124
4/24/20,29873,29249
4/25/20,33161,29712
4/26/20,29256,30178
4/27/20,23371,29307
4/28/20,23901,28937
4/29/20,25512,28888
4/30/20,31787,28123
5/1/20,30369,28193
5/2/20,29794,27712
5/3/20,29763,27785
5/4/20,19138,27180
5/5/20,22303,26952
5/6/20,23366,26645
5/7/20,30861,26513
5/8/20,25996,25888
5/9/20,26660,25441
5/10/20,23792,24588
5/11/20,18106,24440
5/12/20,21467,24321
5/13/20,20869,23964
5/14/20,27191,23440
5/15/20,22977,23008
5/16/20,31967,23767
5/17/20,13284,22265
5/18/20,24481,23176
5/19/20,23405,23453
5/20/20,22860,23737
5/21/20,20522,22785
5/22/20,24268,22969
5/23/20,26229,22149
5/24/20,15342,22443
5/25/20,24958,22512
5/26/20,16429,21515
5/27/20,19680,21061
5/28/20,21304,21172
5/29/20,18123,20295
5/30/20,23553,19912
5/31/20,26177,21460
6/1/20,14790,20008
6/2/20,24955,21226
6/3/20,14676,20511
6/4/20,20555,20404
6/5/20,29034,21962
6/6/20,29214,22771
6/7/20,17919,21591
6/8/20,17598,21993
6/9/20,17376,20910
6/10/20,20486,21740
6/11/20,21744,21910
6/12/20,22317,20950
6/13/20,25468,20415
6/14/20,21957,20992
6/15/20,18577,21132
6/16/20,28392,22705
6/17/20,22834,23041
6/18/20,27828,23910
6/19/20,32218,25324
6/20/20,32411,26316
6/21/20,27616,27125
6/22/20,26657,28279
6/23/20,34313,29125
6/24/20,37667,31244
6/25/20,40588,33067
6/26/20,44602,34836
6/27/20,44703,36592
6/28/20,41075,38515
6/29/20,35979,39846
6/30/20,43644,41179
7/1/20,54357,43564
7/2/20,49258,44802
7/3/20,61190,47172
7/4/20,50815,48045
7/5/20,45774,48716
7/6/20,46329,50195
7/7/20,50304,51146
7/8/20,64771,52634
7/9/20,59260,54063
7/10/20,66281,54790
7/11/20,62918,56519
7/12/20,60469,58618
7/13/20,58858,60408
7/14/20,60971,61932
7/15/20,67404,62308
7/16/20,72045,64135
7/17/20,74710,65339
7/18/20,67574,66004
7/19/20,63201,66394
7/20/20,57777,66240
7/21/20,63028,66534
7/22/20,70106,66920
7/23/20,72219,66945
7/24/20,74818,66960
7/25/20,64582,66533
7/26/20,61795,66332
7/27/20,54448,65856
7/28/20,59862,65404
7/29/20,65935,64808
7/30/20,68042,64211
7/31/20,68605,63324
8/1/20,58947,62519
8/2/20,47576,60487
8/3/20,49716,59811
8/4/20,49988,58401
8/5/20,53685,56651
8/6/20,55836,54907
8/7/20,62042,53970
8/8/20,54590,53347
8/9/20,48690,53506
8/10/20,40522,52193
8/11/20,55540,52986
8/12/20,56307,53361
8/13/20,52799,52927
8/14/20,56729,52168
8/15/20,54686,52181
8/16/20,41893,51210
8/17/20,38986,50991
8/18/20,39318,48674
8/19/20,46500,47273
8/20/20,44864,46139
8/21/20,46754,44714
8/22/20,45265,43368
8/23/20,38679,42909
8/24/20,33076,42065
8/25/20,37086,41746
8/26/20,46393,41731
8/27/20,46830,42011
8/28/20,44656,41712
8/29/20,44292,41573
8/30/20,37532,41409
8/31/20,32087,41268
9/1/20,43249,42148
9/2/20,39711,41193
9/3/20,44671,40885
9/4/20,49400,41563
9/5/20,45405,41722
9/6/20,34337,41265
9/7/20,26146,40417
9/8/20,23301,37567
9/9/20,32899,36594
9/10/20,37451,35562
9/11/20,46045,35083
9/12/20,40423,34371
9/13/20,35549,34544
9/14/20,34676,35763
9/15/20,34305,37335
9/16/20,41566,38573
9/17/20,43952,39502
9/18/20,48845,39902
9/19/20,42561,40207
9/20/20,37417,40474
9/21/20,39345,41141
9/22/20,49285,43281
9/23/20,41310,43245
9/24/20,42340,43014
9/25/20,50584,43263
9/26/20,49871,44307
9/27/20,36335,44152
9/28/20,33891,43373
9/29/20,38764,41870
9/30/20,45342,42446
10/1/20,47046,43119
10/2/20,50160,43058
10/3/20,49327,42980
10/4/20,36778,43044
10/5/20,39548,43852
10/6/20,38984,43883
10/7/20,53051,44984
10/8/20,54887,46105
10/9/20,58302,47268
10/10/20,53363,47844
10/11/20,46069,49172
10/12/20,46614,50181
10/13/20,47459,51392
10/14/20,59761,52350
10/15/20,63486,53579
10/16/20,70078,55261
10/17/20,53157,55232
10/18/20,47035,55370
10/19/20,60061,57291
10/20/20,60426,59143
10/21/20,63656,59699
10/22/20,74380,61256
10/23/20,82929,63092
10/24/20,83851,67476
10/25/20,63195,69785
10/26/20,63589,70289
10/27/20,72183,71969
10/28/20,81599,74532
10/29/20,90155,76785
10/30/20,99750,79188
10/31/20,88831,79900
11/1/20,69499,80800
11/2/20,86190,84029
11/3/20,88427,86350
11/4/20,106537,89912
11/5/20,117988,93888
11/6/20,132830,98614
11/7/20,93811,99326
11/8/20,105142,104417
11/9/20,122910,109663
11/10/20,134383,116228
